NO,기업명,기업코드 첨부내용,ESG등급,환경,사회,지배구조,평가년도,비고 (조정시기)
83,한전기술,052690,B+,B,B+,B+,2022,
82,한전산업,130660,C,C,B,C,2022,
81,한진,002320,B+,B+,A,B+,2022,
80,한진중공업홀딩스,003480,C,D,D,B+,2022,
79,한진칼,180640,A,A,A,A,2022,
78,한창,005110,D,D,D,D,2022,
77,한창제지,009460,C,C,C,B,2022,
76,한화,000880,A,A,A+,A,2022,
75,한화생명,088350,A,A,A+,B+,2022,
74,한화손해보험,000370,A,A,A,A,2022,
73,한화솔루션,009830,B,A,A,C,2022,
72,한화시스템,272210,A,B+,A+,A,2022,
71,한화에어로스페이스,012450,B+,B+,A,B,2022,
70,한화투자증권,003530,B+,B+,A,B+,2022,
69,해성디에스,195870,B+,B+,A,B+,2022,
68,해태제과식품,101530,C,D,B,C,2022,
67,핸즈코퍼레이션,143210,C,C,B,D,2022,
66,헬릭스미스,084990,D,D,D,D,2022,
65,현대건설,000720,A,A,A,B+,2022,
64,현대건설기계,267270,A,B+,A,A,2022,
63,현대그린푸드,005440,A,A,A,A,2022,
62,현대글로비스,086280,A,A,A+,A,2022,
61,현대두산인프라코어,042670,B+,B+,A,B+,2022,
60,현대로템,064350,A,A,A+,A,2022,
59,현대리바트,079430,A,A,A,A,2022,
58,현대모비스,012330,A,A,A+,B+,2022,
57,현대미포조선,010620,B+,B+,A,B+,2022,
56,현대바이오,048410,D,D,D,C,2022,
55,현대바이오랜드,052260,A,B+,A,A,2022,
54,현대백화점,069960,A,A,A,A,2022,(2022.11) 사회 등급 조정
53,현대비앤지스틸,004560,C,B+,B+,D,2022,(2022.11) 사회 등급 조정
52,현대약품,004310,D,D,C,D,2022,
51,현대에너지솔루션,322000,A,A,A+,B+,2022,
50,현대에버다임,041440,A,B,A,A,2022,
49,현대엘리베이터,017800,B,C,B,B,2022,
48,현대오토에버,307950,B+,B+,A,B+,2022,
47,현대위아,011210,A,A,A,B+,2022,
46,현대이지웰,090850,A,A,A+,B+,2022,
45,현대일렉트릭,267260,B+,B+,A,B+,2022,
44,현대자동차,005380,B+,A,B+,B,2022,(2022.11) 사회 등급 조정
43,현대제철,004020,A,A,A,B+,2022,(2022.11) 사회 등급 조정
42,현대중공업,329180,B+,B+,A,B+,2022,
41,현대차증권,001500,A,B+,A+,B+,2022,
40,현대카드,815419,-,-,-,A,2022,
39,현대캐피탈,836248,-,-,-,A,2022,
38,현대커머셜,888975,-,-,-,A,2022,
37,현대코퍼레이션,011760,B,C,B,B,2022,
36,현대코퍼레이션홀딩스,227840,B,C,B,B+,2022,
35,현대퓨처넷,126560,A,A,A,A,2022,
34,현대해상,001450,B+,A,A,B+,2022,
33,현대홈쇼핑,057050,A,A,A+,A,2022,
32,형지엘리트,093240,D,D,C,D,2022,
31,혜인,003010,D,D,D,D,2022,
30,호전실업,111110,D,D,D,C,2022,
29,호텔신라,008770,A,B+,A,A,2022,
28,화성산업,002460,B,C,B+,B,2022,
27,화승엔터프라이즈,241590,B+,B,B,A,2022,
26,화승인더스트리,006060,C,C,C,B+,2022,
25,화승코퍼레이션,013520,C,C,C,B,2022,
24,화신,010690,C,C,A,C,2022,
23,화인베스틸,133820,D,C,D,D,2022,
22,화천기계,010660,D,D,D,D,2022,
21,화천기공,000850,D,D,D,C,2022,
20,환인제약,016580,B,D,B+,B+,2022,
19,황금에스티,032560,C,D,D,B,2022,
18,효성,004800,B+,A,A+,B,2022,
17,효성 ITX,094280,B+,B,A,B+,2022,
16,효성중공업,298040,A,A,A+,B+,2022,
15,효성첨단소재,298050,A,B+,A+,A,2022,
14,효성티앤씨,298020,A,A,A+,B+,2022,
13,효성화학,298000,A,A,A+,B+,2022,
12,후성,093370,B,B,B+,B,2022,
11,휠라홀딩스,081660,B+,B,A,B+,2022,
10,휴니드테크놀러지스,005870,D,D,C,C,2022,
9,휴마시스,205470,D,D,D,D,2022,
8,휴비스,079980,B+,B+,A,B+,2022,
7,휴스틸,005010,D,D,D,C,2022,
6,휴온스,243070,B,C,B+,B,2022,
5,휴온스글로벌,084110,C,C,B+,D,2022,
4,휴젤,145020,C,D,C,C,2022,
3,흥국생명보험,818586,-,-,-,B,2022,
2,흥국화재,000540,B+,C,B+,B+,2022,
1,흥아해운,003280,C,C,B,C,2022,
